Reading,Value
2.88E-05,-1.04252E-08
0.00091325,9.994E-06
0.001796866,1.99949E-05
0.002678422,2.99859E-05
0.003559702,3.99885E-05
0.00444606,4.99901E-05
0.005329813,5.9994E-05
0.006213837,6.99972E-05
0.007097179,8.00003E-05
0.007981065,8.99873E-05
0.008864402,9.99924E-05
0.009746375,0.000109994
0.010630944,0.000119999
0.01151401,0.000130003
0.012396254,0.000139987
0.013280005,0.000149991
0.014162517,0.000159994
0.015046404,0.000169999
0.015928507,0.000180001
0.016821183,0.000190006
0.017694496,0.00019999
0.018577281,0.000209993
0.019460902,0.000219999
0.020343279,0.00023
0.021246912,0.000240004
0.02210501,0.000250009
0.022985054,0.000259994
0.023866734,0.000269995
0.024749391,0.00028
0.025629839,0.000290003
0.026514966,0.000300006
0.02739596,0.000309994
0.028282039,0.000319996
0.029159481,0.000329998
0.030043099,0.000340002
0.030938234,0.000350004
0.031809215,0.000360005
0.032690786,0.000369993
0.033579599,0.000379995
0.034459215,0.000389998
0.035345852,0.000400001
0.03623097,0.000410005
0.037115671,0.000419989
0.037998185,0.000429993
0.038880963,0.000439999
0.039768428,0.000449998
0.040652715,0.000460002
0.041543063,0.000470006
0.042426117,0.000479993
0.043321531,0.000489992
0.044205397,0.000499995
