Reading,Value
2.35E-05,-1.00761E-08
1.76E-05,9.99395E-06
1.43E-05,1.99952E-05
7.95E-06,2.99857E-05
1.63E-06,3.99887E-05
-2.90E-06,4.99905E-05
-8.11E-06,5.99936E-05
-1.62E-05,6.99971E-05
-2.18E-05,8.00001E-05
-2.86E-05,8.99876E-05
-3.57E-05,9.99924E-05
-4.37E-05,0.000109994
-5.29E-05,0.000119999
-6.01E-05,0.000130003
-6.96E-05,0.000139987
-7.83E-05,0.000149991
-8.64E-05,0.000159995
-9.89E-05,0.000169999
-0.000110518,0.000180001
-0.000120814,0.000190006
-0.000132207,0.000199991
-0.000144562,0.000209994
-0.000156642,0.00022
-0.000170644,0.00023
-0.000182587,0.000240005
-0.000196864,0.000250009
-0.000210455,0.000259994
-0.000226241,0.000269995
-0.000239969,0.00028
-0.000255481,0.000290003
-0.000270856,0.000300006
-0.000281564,0.000309995
-0.000292409,0.000319996
-0.000303116,0.000329998
-0.000313412,0.000340002
-0.000323296,0.000350004
-0.000332219,0.000360005
-0.000343613,0.000369993
-0.000353634,0.000379995
-0.000362694,0.000389999
-0.000373402,0.000400001
-0.000382462,0.000410005
-0.000393581,0.00041999
-0.000403053,0.000429993
-0.0004128,0.00044
-0.000423507,0.000449999
-0.000432705,0.000460003
-0.000440804,0.000470007
-0.000452335,0.000479993
-0.000463043,0.000489992
-0.000473476,0.000499996
