Reading,Value
-3.72E-06,-9.8674E-09
0.00173038,9.99438E-06
0.003457485,1.99956E-05
0.005189392,2.99859E-05
0.00693338,3.9989E-05
0.008668166,4.99908E-05
0.010402133,5.99941E-05
0.012137065,6.99976E-05
0.013867737,8.00009E-05
0.015598267,8.99881E-05
0.01733483,9.99929E-05
0.019067157,0.000109994
0.020807019,0.000119999
0.022542639,0.000130003
0.02427591,0.000139988
0.026009057,0.000149992
0.027746718,0.000159995
0.029478226,0.000169999
0.031218762,0.000180002
0.032955762,0.000190006
0.034694783,0.000199991
0.036429036,0.000209994
0.038166694,0.00022
0.039900795,0.00023
0.041639019,0.000240004
0.04337449,0.000250008
0.0451083,0.000259994
0.046843365,0.000269995
0.048579928,0.00028
0.05031582,0.000290003
0.052051287,0.000300006
0.053786047,0.000309994
0.05551989,0.000319996
0.057257112,0.000329997
0.058993168,0.000340001
0.060730003,0.000350004
0.062466271,0.000360005
0.064198583,0.000369992
0.065934487,0.000379995
0.067669787,0.000389998
0.069407031,0.0004
0.071142554,0.000410004
0.07287661,0.000419989
0.074612342,0.000429993
0.076348782,0.000439999
0.078076966,0.000449998
0.079821371,0.000460002
0.081558593,0.000470006
0.083291486,0.000479992
0.085028023,0.000489991
0.086764015,0.000499994
