Reading,Value
9.74E-05,-1.04E-08
0.000987352,9.99E-06
0.001881654,2.00E-05
0.00276827,3.00E-05
0.003654746,4.00E-05
0.004545754,5.00E-05
0.005440056,6.00E-05
0.006332573,7.00E-05
0.007220969,8.00E-05
0.008111294,9.00E-05
0.009000926,1.00E-04
0.009901819,0.000109994
0.010781977,0.000119999
0.011673398,0.000130003
0.012561657,0.000139987
0.013452388,0.000149991
0.014341198,0.000159995
0.015232889,0.000169999
0.016121427,0.000180001
0.017011195,0.000190006
0.017899176,0.000199991
0.018788252,0.000209994
0.019678725,0.00022
0.020568073,0.00023
0.021456055,0.000240004
0.022345975,0.000250008
0.023233676,0.000259994
0.024121804,0.000269995
0.025012251,0.00028
0.025898857,0.000290003
0.026793424,0.000300006
0.027679911,0.000309994
0.028570225,0.000319996
0.029458765,0.000329998
0.030349078,0.000340002
0.031242134,0.000350003
0.032130681,0.000360005
0.03302196,0.000369992
0.033913366,0.000379995
0.034800932,0.000389998
0.035690427,0.0004
0.036577869,0.000410004
0.037467219,0.000419989
0.038354926,0.000429992
0.039247844,0.000439999
0.040138986,0.000449997
0.041031074,0.000460002
0.04192264,0.000470005
0.042814199,0.000479992
0.043706562,0.000489991
0.044600032,0.000499995
