Reading,Value
7.93E-05,-1.01E-08
8.63E-05,9.99E-06
8.98E-05,2.00E-05
9.21E-05,3.00E-05
9.95E-05,4.00E-05
0.000102246,5.00E-05
0.000106776,6.00E-05
0.000106913,7.00E-05
0.000107462,8.00E-05
0.00011611,9.00E-05
0.000116659,1.00E-04
0.000116796,0.000109994
0.000122424,0.000119999
0.000129287,0.000130003
0.000131484,0.000139988
0.000129562,0.000149991
0.000130797,0.000159995
0.000129699,0.000169999
0.000129287,0.000180001
0.000133405,0.000190006
0.000126267,0.000199991
0.000122973,0.000209993
0.000120914,0.000219999
0.000121737,0.00023
0.000110756,0.000240005
0.000104991,0.000250009
9.76E-05,0.000259994
9.36E-05,0.000269995
8.88E-05,0.00028
8.17E-05,0.000290003
7.81E-05,0.000300006
7.08E-05,0.000309995
6.57E-05,0.000319996
5.94E-05,0.000329997
6.11E-05,0.000340001
6.13E-05,0.000350004
5.97E-05,0.000360005
6.00E-05,0.000369992
5.94E-05,0.000379994
7.18E-05,0.000389998
6.13E-05,0.0004
6.27E-05,0.000410004
5.86E-05,0.000419989
5.89E-05,0.000429992
5.58E-05,0.000439999
5.67E-05,0.000449998
5.58E-05,0.000460002
5.48E-05,0.000470005
5.31E-05,0.000479992
5.26E-05,0.000489991
5.39E-05,0.000499994
