Reading,Value
0.000173351,-9.94E-09
0.001057354,9.99E-06
0.001937789,2.00E-05
0.002819734,3.00E-05
0.003706618,4.00E-05
0.004589387,5.00E-05
0.0054819,6.00E-05
0.006362608,7.00E-05
0.00724071,8.00E-05
0.008118806,9.00E-05
0.00900748,1.00E-04
0.009890657,0.000109994
0.01076766,0.000119999
0.011646169,0.000130003
0.012522902,0.000139988
0.013404971,0.000149991
0.014293509,0.000159995
0.015172021,0.000169999
0.016046276,0.000180002
0.016927812,0.000190006
0.017804658,0.00019999
0.018701714,0.000209994
0.019579945,0.00022
0.020452552,0.00023
0.021335855,0.000240004
0.022214651,0.000250009
0.02307312,0.000259994
0.023948474,0.000269995
0.024824515,0.00028
0.025700415,0.000290003
0.026575072,0.000300006
0.027447267,0.000309995
0.028324401,0.000319996
0.029205117,0.000329997
0.030070029,0.000340001
0.030946612,0.000350004
0.031825677,0.000360005
0.032702953,0.000369992
0.033581581,0.000379994
0.034456119,0.000389998
0.035329688,0.000400001
0.036205716,0.000410004
0.037082586,0.000419989
0.037959855,0.000429992
0.038833551,0.000439999
0.039709885,0.000449998
0.040589903,0.000460002
0.04146415,0.000470006
0.042340871,0.000479993
0.043216344,0.000489991
0.044095267,0.000499995
